filename,vulnerable
real_policy_428.json,True
real_policy_2.json,True
real_policy_420.json,False
real_policy_228.json,True
real_policy_499.json,False
real_policy_207.json,True
real_policy_312.json,False
real_policy_58.json,True
real_policy_33.json,True
real_policy_165.json,True
real_policy_40.json,True
real_policy_316.json,True
real_policy_414.json,True
real_policy_447.json,False
real_policy_364.json,True
real_policy_188.json,True
real_policy_344.json,False
real_policy_6.json,False
real_policy_446.json,True
real_policy_386.json,True
real_policy_478.json,False
real_policy_338.json,True
real_policy_311.json,True
real_policy_424.json,True
real_policy_179.json,False
real_policy_375.json,True
real_policy_320.json,True
real_policy_383.json,True
real_policy_373.json,True
real_policy_437.json,False
real_policy_225.json,False
real_policy_122.json,True
real_policy_198.json,True
real_policy_92.json,True
real_policy_192.json,True
real_policy_89.json,True
real_policy_100.json,True
real_policy_329.json,True
real_policy_471.json,False
real_policy_309.json,True
real_policy_184.json,True
real_policy_64.json,True
real_policy_202.json,False
real_policy_233.json,False
real_policy_34.json,True
real_policy_304.json,True
real_policy_62.json,False
real_policy_417.json,True
real_policy_0.json,True
real_policy_239.json,False
real_policy_421.json,True
real_policy_484.json,True
real_policy_248.json,True
real_policy_214.json,True
real_policy_288.json,True
real_policy_282.json,True
real_policy_254.json,True
real_policy_154.json,False
real_policy_90.json,False
real_policy_255.json,False
real_policy_477.json,True
real_policy_180.json,False
real_policy_253.json,False
real_policy_195.json,True
real_policy_56.json,True
real_policy_331.json,True
real_policy_153.json,True
real_policy_367.json,False
real_policy_335.json,True
real_policy_365.json,True
real_policy_281.json,False
real_policy_87.json,False
real_policy_308.json,False
real_policy_109.json,True
real_policy_388.json,True
real_policy_403.json,True
real_policy_250.json,False
real_policy_292.json,False
real_policy_495.json,True
real_policy_203.json,True
real_policy_44.json,False
real_policy_21.json,False
real_policy_5.json,True
real_policy_441.json,True
real_policy_211.json,True
real_policy_491.json,False
real_policy_91.json,True
real_policy_272.json,False
real_policy_380.json,True
real_policy_96.json,True
real_policy_11.json,False
real_policy_268.json,False
real_policy_148.json,True
real_policy_452.json,False
real_policy_485.json,True
real_policy_355.json,False
real_policy_319.json,False
real_policy_61.json,False
real_policy_26.json,False
real_policy_432.json,True
real_policy_482.json,True
real_policy_416.json,True
real_policy_242.json,True
real_policy_445.json,False
real_policy_275.json,True
real_policy_433.json,True
real_policy_177.json,True
real_policy_293.json,True
real_policy_346.json,True
real_policy_29.json,False
real_policy_226.json,True
real_policy_298.json,True
real_policy_394.json,True
real_policy_147.json,True
real_policy_472.json,True
real_policy_45.json,False
real_policy_404.json,True
real_policy_342.json,False
real_policy_55.json,False
real_policy_463.json,True
real_policy_160.json,True
real_policy_10.json,True
real_policy_176.json,True
real_policy_444.json,True
real_policy_194.json,True
real_policy_75.json,True
real_policy_256.json,False
real_policy_238.json,True
real_policy_251.json,True
real_policy_67.json,True
real_policy_220.json,True
real_policy_174.json,True
real_policy_315.json,False
real_policy_65.json,True
real_policy_28.json,False
real_policy_487.json,False
real_policy_395.json,True
real_policy_47.json,False
real_policy_351.json,True
real_policy_215.json,True
real_policy_134.json,True
real_policy_68.json,True
real_policy_279.json,False
real_policy_377.json,True
real_policy_435.json,False
real_policy_119.json,True
real_policy_412.json,True
real_policy_163.json,True
real_policy_451.json,False
real_policy_23.json,False
real_policy_178.json,True
real_policy_229.json,False
real_policy_409.json,True
real_policy_197.json,True
real_policy_15.json,False
real_policy_461.json,False
real_policy_307.json,True
real_policy_423.json,True
real_policy_302.json,False
real_policy_42.json,False
real_policy_206.json,True
real_policy_328.json,True
real_policy_217.json,False
real_policy_483.json,False
real_policy_187.json,True
real_policy_66.json,True
real_policy_431.json,True
real_policy_352.json,True
real_policy_337.json,True
real_policy_405.json,True
real_policy_36.json,True
real_policy_334.json,False
real_policy_266.json,True
real_policy_326.json,True
real_policy_102.json,True
real_policy_183.json,True
real_policy_429.json,True
real_policy_419.json,True
real_policy_436.json,True
real_policy_84.json,False
real_policy_13.json,False
real_policy_321.json,False
real_policy_413.json,True
real_policy_155.json,True
real_policy_157.json,True
real_policy_285.json,True
real_policy_448.json,False
real_policy_193.json,True
real_policy_208.json,True
real_policy_46.json,True
real_policy_358.json,True
real_policy_295.json,False
real_policy_218.json,True
real_policy_481.json,False
real_policy_267.json,True
real_policy_37.json,False
real_policy_459.json,False
real_policy_35.json,False
real_policy_124.json,False
real_policy_280.json,False
real_policy_126.json,False
real_policy_60.json,False
